"Unique Key","Created Date","Closed Date","Agency","Agency Name","Complaint Type","Descriptor","Location Type","Incident Zip","Incident Address","Street Name","Cross Street 1","Cross Street 2","Intersection Street 1","Intersection Street 2","Address Type","City","Landmark","Facility Type","Status","Due Date","Resolution Description","Resolution Action Updated Date","Community Board","BBL","Borough","X Coordinate (State Plane)","Y Coordinate (State Plane)","Open Data Channel Type","Park Facility Name","Park Borough","Vehicle Type","Taxi Company Borough","Taxi Pick Up Location","Bridge Highway Name","Bridge Highway Direction","Road Ramp","Bridge Highway Segment","Latitude","Longitude","Location"
"61785768","07/13/2024 12:06:13 PM","07/15/2024 03:07:39 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10451","243 EAST  149 STREET","EAST  149 STREET","PARK AVENUE","MORRIS AVENUE","PARK AVENUE","MORRIS AVENUE","ADDRESS","BRONX","EAST  149 STREET",,"Closed",,"The Department of Sanitation cleaned the location.","07/13/2024 11:36:48 PM","01 BRONX","2023380003","BRONX","1,005,339","237,185","ONLINE","Unspecified","BRONX",,,,,,,,"40.81766854516","-73.92380904577","(40.817668545163166, -73.92380904577233)"
"61792566","07/13/2024 11:52:45 AM","07/15/2024 03:07:19 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10451","232 EAST  144 STREET","EAST  144 STREET","CANAL PLACE","RIDER AVENUE","CANAL PLACE","RIDER AVENUE","ADDRESS","BRONX","EAST  144 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/13/2024 09:53:19 PM","01 BRONX","2023400219","BRONX","1,004,950","236,487","ONLINE","Unspecified","BRONX",,,,,,,,"40.81575365172","-73.9252165885","(40.815753651718104, -73.9252165884968)"
"61785959","07/13/2024 11:46:38 AM","07/15/2024 03:07:34 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Street","10451","234 EAST  149 STREET","EAST  149 STREET","PARK AVENUE","MORRIS AVENUE","PARK AVENUE","MORRIS AVENUE","ADDRESS","BRONX","EAST  149 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/13/2024 11:38:08 PM","01 BRONX","2023350016","BRONX","1,005,243","237,211","ONLINE","Unspecified","BRONX",,,,,,,,"40.81774013649","-73.92415579587","(40.81774013649434, -73.92415579586793)"
"61790313","07/13/2024 09:08:07 AM","07/15/2024 03:07:24 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10451","470 COLLEGE AVENUE","COLLEGE AVENUE","EAST  146 STREET","EAST  148 STREET","EAST  146 STREET","EAST  148 STREET","ADDRESS","BRONX","COLLEGE AVENUE",,"Closed",,"The Department of Sanitation removed the items.","07/13/2024 11:34:49 PM","01 BRONX","2023290053","BRONX","1,005,984","236,480","ONLINE","Unspecified","BRONX",,,,,,,,"40.81573195528","-73.92148105527","(40.81573195528378, -73.92148105526836)"
"61783699","07/12/2024 01:04:45 PM","07/27/2024 08:27:12 AM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10011","110 WEST   20 STREET","WEST   20 STREET","AVENUE OF THE AMERICAS","7 AVENUE","AVENUE OF THE AMERICAS","7 AVENUE","ADDRESS","NEW YORK","WEST   20 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/13/2024 10:51:04 AM","04 MANHATTAN","1007950028","MANHATTAN","985,707","209,339","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.74126369339","-73.99474214508","(40.74126369339154, -73.99474214508093)"
"61780016","07/12/2024 11:27:23 AM","07/26/2024 02:52:47 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10022","228 EAST   51 STREET","EAST   51 STREET","3 AVENUE","2 AVENUE","3 AVENUE","2 AVENUE","ADDRESS","NEW YORK","EAST   51 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/13/2024 09:41:50 AM","06 MANHATTAN","1013240137","MANHATTAN","992,691","214,751","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.75611436143","-73.96953229313","(40.75611436143048, -73.96953229312712)"
"61781807","07/12/2024 10:36:29 AM","07/15/2024 03:06:55 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10469","2521 HONE AVENUE","HONE AVENUE","MACE AVENUE","ALLERTON AVENUE","MACE AVENUE","ALLERTON AVENUE","ADDRESS","BRONX","HONE AVENUE",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/12/2024 12:22:12 PM","11 BRONX","2044500007","BRONX","1,023,584","253,998","ONLINE","Unspecified","BRONX",,,,,,,,"40.86375286976","-73.85779445716","(40.86375286976452, -73.85779445715511)"
"61769668","07/11/2024 02:13:29 PM","07/27/2024 08:12:42 AM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10036","427 WEST   47 STREET","WEST   47 STREET","9 AVENUE","10 AVENUE","9 AVENUE","10 AVENUE","ADDRESS","NEW YORK","WEST   47 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/12/2024 09:37:24 AM","04 MANHATTAN","1010570020","MANHATTAN","986,669","216,901","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.76201925942","-73.99126786926","(40.762019259423596, -73.99126786925991)"
"61772145","07/11/2024 01:50:09 PM","07/27/2024 08:19:42 AM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10036","327 WEST   45 STREET","WEST   45 STREET","8 AVENUE","9 AVENUE","8 AVENUE","9 AVENUE","ADDRESS","NEW YORK","WEST   45 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/12/2024 11:54:40 AM","04 MANHATTAN","1010360014","MANHATTAN","987,203","216,009","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.75957078611","-73.98934062248","(40.759570786112626, -73.98934062248364)"
"61768593","07/11/2024 10:38:47 AM","07/13/2024 09:35:47 AM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10451","3144 THIRD AVENUE","THIRD AVENUE","BROOK AVENUE","EAST  161 STREET","BROOK AVENUE","EAST  161 STREET","ADDRESS","BRONX","3 AVENUE",,"Closed",,"The Department of Sanitation cleaned the location.","07/11/2024 12:06:29 PM","01 BRONX","2023600089","BRONX","1,009,000","238,895","PHONE","Unspecified","BRONX",,,,,,,,"40.82235251201","-73.91057617996","(40.82235251200521, -73.91057617995511)"
"61776775","07/11/2024 09:38:55 AM","07/27/2024 10:26:07 AM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10028","EAST   84 STREET","EAST   84 STREET","EAST   84 STREET","LEXINGTON AVENUE","EAST   84 STREET","LEXINGTON AVENUE","INTERSECTION",,,,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/12/2024 12:29:11 AM","08 MANHATTAN",,"MANHATTAN","996,285","222,792","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.77818065788","-73.95654538914","(40.778180657884434, -73.95654538914386)"
"61770716","07/11/2024 07:53:17 AM","07/16/2024 02:45:57 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10457","1745 MONROE AVENUE","MONROE AVENUE","CROSS BRONX EXPRESSWAY","EAST  175 STREET","CROSS BRONX EXPRESSWAY","EAST  175 STREET","ADDRESS","BRONX","MONROE AVENUE",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/11/2024 10:14:32 AM","05 BRONX","2027970052","BRONX","1,010,101","247,464","PHONE","Unspecified","BRONX",,,,,,,,"40.84586877864","-73.90656515406","(40.845868778639925, -73.90656515406346)"
"61766802","07/10/2024 10:22:35 AM","07/23/2024 12:44:09 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11208","332 EUCLID AVENUE","EUCLID AVENUE","GLEN STREET","WELDON STREET","GLEN STREET","WELDON STREET","ADDRESS","BROOKLYN","EUCLID AVENUE",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/13/2024 11:50:01 AM","05 BROOKLYN","3041580137","BROOKLYN","1,019,389","187,051","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.6800188039","-73.87331080897","(40.680018803898285, -73.87331080896719)"
"61758882","07/10/2024 09:49:44 AM","07/10/2024 12:36:45 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11368","35-01 JUNCTION BOULEVARD","JUNCTION BOULEVARD","35 AVENUE","37 AVENUE","35 AVENUE","37 AVENUE","ADDRESS","CORONA","JUNCTION BOULEVARD",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/10/2024 11:53:00 AM","03 QUEENS","4017370060","QUEENS","1,019,813","213,664","ONLINE","Unspecified","QUEENS",,,,,,,,"40.75306333559","-73.87164153554","(40.75306333559282, -73.87164153554438)"
"61764143","07/10/2024 07:24:23 AM","07/12/2024 04:35:20 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11103","25 AVENUE","25 AVENUE","25 AVENUE","46 STREET","25 AVENUE","46 STREET","INTERSECTION",,,,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/12/2024 05:32:15 AM","01 QUEENS",,"QUEENS","1,010,036","218,260","PHONE","Unspecified","QUEENS",,,,,,,,"40.76571208887","-73.90691225712","(40.765712088872455, -73.90691225712015)"
"61765486","07/10/2024 03:14:46 AM","07/24/2024 04:03:29 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10036","305 WEST   43 STREET","WEST   43 STREET","8 AVENUE","9 AVENUE","8 AVENUE","9 AVENUE","ADDRESS","NEW YORK","WEST   43 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/10/2024 10:02:07 AM","04 MANHATTAN","1010340029","MANHATTAN","987,076","215,484","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.75812983694","-73.9897992722","(40.75812983694312, -73.98979927219862)"
"61752785","07/09/2024 02:00:36 PM","07/24/2024 04:03:20 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10036","330 WEST   45 STREET","WEST   45 STREET","8 AVENUE","9 AVENUE","8 AVENUE","9 AVENUE","ADDRESS","NEW YORK","WEST   45 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/10/2024 09:59:05 AM","04 MANHATTAN","1010350047","MANHATTAN","987,178","216,016","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.75959000763","-73.98943086137","(40.759590007634166, -73.98943086137035)"
"61747474","07/09/2024 07:54:53 AM","07/24/2024 03:57:45 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10014","17 BARROW STREET","BARROW STREET","WEST    4 STREET","7 AVENUE SOUTH","WEST    4 STREET","7 AVENUE SOUTH","ADDRESS","NEW YORK","BARROW STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/09/2024 10:46:55 PM","02 MANHATTAN","1005900063","MANHATTAN","983,478","206,182","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.73259859528","-74.00278554301","(40.73259859527965, -74.00278554300657)"
"61745214","07/08/2024 09:36:27 PM","07/12/2024 12:26:07 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Street","10003","115 EAST   18 STREET","EAST   18 STREET","PARK AVENUE SOUTH","IRVING PLACE","PARK AVENUE SOUTH","IRVING PLACE","ADDRESS","NEW YORK","EAST   18 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/09/2024 04:42:06 AM","05 MANHATTAN","1008740010","MANHATTAN","987,672","207,699","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.7367617582","-73.98765191221","(40.73676175819652, -73.98765191220562)"
"61743771","07/08/2024 06:03:27 PM","07/22/2024 09:15:49 AM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11237","260 WYCKOFF AVENUE","WYCKOFF AVENUE","GROVE STREET","LINDEN STREET","GROVE STREET","LINDEN STREET","ADDRESS","BROOKLYN","WYCKOFF AVENUE",,"Closed",,"The Department of Sanitation cleaned the location.","07/09/2024 04:23:46 AM","04 BROOKLYN","3033280036","BROOKLYN","1,008,460","194,468","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.70041338861","-73.91268724094","(40.70041338860713, -73.91268724094223)"
"61739569","07/08/2024 05:40:28 PM","07/10/2024 03:44:38 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11209","334 93 STREET","93 STREET","3 AVENUE","4 AVENUE","3 AVENUE","4 AVENUE","ADDRESS","BROOKLYN","93 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/09/2024 09:30:36 AM","10 BROOKLYN","3061070017","BROOKLYN","975,368","164,551","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.61832647955","-74.03199331319","(40.61832647954992, -74.03199331319061)"
"61745121","07/08/2024 01:19:11 PM","07/24/2024 04:03:49 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10036","618 WEST   46 STREET","WEST   46 STREET","11 AVENUE","PEDESTRIAN OVERPASS","11 AVENUE","PEDESTRIAN OVERPASS","ADDRESS","NEW YORK","WEST   46 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/09/2024 12:01:54 PM","04 MANHATTAN","1010930042","MANHATTAN","985,082","217,476","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.76359777818","-73.99699656678","(40.763597778181385, -73.99699656678364)"
"61743857","07/08/2024 12:52:19 PM","07/24/2024 04:04:56 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Street","10001","407 WEST   35 STREET","WEST   35 STREET","9 AVENUE","LINCOLN TUNNEL EN W   35 ST","9 AVENUE","LINCOLN TUNNEL EN W   35 ST","ADDRESS","NEW YORK","WEST   35 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/09/2024 09:54:22 AM","04 MANHATTAN","1007330030","MANHATTAN","985,301","214,065","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.75423543263","-73.99620653287","(40.754235432633514, -73.99620653286732)"
"61736671","07/08/2024 09:58:01 AM","07/10/2024 03:54:35 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11204","6321 18 AVENUE","18 AVENUE","SEA BEACH LINE","64 STREET","SEA BEACH LINE","64 STREET","ADDRESS","BROOKLYN","18 AVENUE",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/10/2024 12:27:18 PM","11 BROOKLYN","3055400001","BROOKLYN","987,184","165,109","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.61986203977","-73.98943137373","(40.61986203976536, -73.98943137373337)"
"61743770","07/08/2024 09:12:34 AM","07/24/2024 03:58:06 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10012","PRINCE STREET","PRINCE STREET","PRINCE STREET","WEST BROADWAY","PRINCE STREET","WEST BROADWAY","INTERSECTION",,,,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/08/2024 10:08:54 PM","02 MANHATTAN",,"MANHATTAN","984,001","203,695","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.72577241805","-74.00089835384","(40.72577241805309, -74.00089835383723)"
"61732081","07/07/2024 02:50:19 PM","07/09/2024 02:42:17 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11216","185 MADISON STREET","MADISON STREET","BEDFORD AVENUE","NOSTRAND AVENUE","BEDFORD AVENUE","NOSTRAND AVENUE","ADDRESS","BROOKLYN","MADISON STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/08/2024 11:59:29 AM","03 BROOKLYN","3018170071","BROOKLYN","997,599","188,691","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.68457990985","-73.95186860235","(40.68457990984866, -73.95186860234759)"
"61723195","07/06/2024 06:09:09 PM","07/22/2024 12:43:18 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10027","124 WEST  132 STREET","WEST  132 STREET","LENOX AVENUE","ADAM CLAYTON POWELL JR BOULEVARD","LENOX AVENUE","ADAM CLAYTON POWELL JR BOULEVARD","ADDRESS","NEW YORK","WEST  132 STREET",,"Closed",,"The Department of Sanitation removed the items.","07/08/2024 12:06:40 PM","10 MANHATTAN","1019160144","MANHATTAN","999,976","235,327","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.81258003125","-73.94318899568","(40.81258003125086, -73.94318899568194)"
"61721989","07/06/2024 12:26:40 PM","07/08/2024 08:04:21 AM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11215","183 PROSPECT AVENUE","PROSPECT AVENUE","4 AVENUE","PROSPECT EXPRESSWAY WB EXIT    2","4 AVENUE","PROSPECT EXPRESSWAY WB EXIT    2","ADDRESS","BROOKLYN","PROSPECT AVENUE",,"Closed",,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).","07/08/2024 08:04:22 AM","07 BROOKLYN","3010527503","BROOKLYN","986,287","181,718","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.66545042662","-73.9926574624","(40.66545042662099, -73.99265746239897)"
"61716015","07/05/2024 01:26:42 PM","07/24/2024 03:41:46 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10036","616 WEST   46 STREET","WEST   46 STREET","11 AVENUE","PEDESTRIAN OVERPASS","11 AVENUE","PEDESTRIAN OVERPASS","ADDRESS","NEW YORK","WEST   46 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/06/2024 10:47:11 AM","04 MANHATTAN","1010930042","MANHATTAN","985,089","217,471","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.76358405381","-73.99697129814","(40.76358405380863, -73.99697129813786)"
"61716014","07/05/2024 08:16:25 AM","07/24/2024 04:20:43 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10012","69 SPRING STREET","SPRING STREET","CLEVELAND PLACE","CROSBY STREET","CLEVELAND PLACE","CROSBY STREET","ADDRESS","NEW YORK","SPRING STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/05/2024 10:20:34 PM","02 MANHATTAN","1004960036","MANHATTAN","984,942","202,492","UNKNOWN","Unspecified","MANHATTAN",,,,,,,,"40.72247045111","-73.99750349376","(40.72247045110893, -73.99750349375549)"
"61712338","07/05/2024 07:47:23 AM","07/05/2024 02:12:10 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10459","911 BRUCKNER BOULEVARD","BRUCKNER BOULEVARD","TIFFANY STREET","BARRETTO STREET","TIFFANY STREET","BARRETTO STREET","ADDRESS","BRONX","BRUCKNER BOULEVARD",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/05/2024 08:41:55 AM","02 BRONX","2027330029","BRONX","1,013,917","237,371","ONLINE","Unspecified","BRONX",,,,,,,,"40.81815441925","-73.89281740144","(40.818154419252295, -73.89281740143701)"
"61704509","07/04/2024 10:38:21 AM","07/06/2024 02:48:46 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10032","RIVERSIDE DRIVE","RIVERSIDE DRIVE","RIVERSIDE DRIVE","WEST  163 STREET","RIVERSIDE DRIVE","WEST  163 STREET","INTERSECTION",,,,"Closed",,"The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.","07/04/2024 10:22:17 PM","12 MANHATTAN",,"MANHATTAN","999,318","245,037","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.83923235902","-73.94554424822","(40.839232359015284, -73.94554424821676)"
"61703069","07/04/2024 09:28:01 AM","07/12/2024 12:21:34 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10036","56 WEST   42 STREET","WEST   42 STREET","5 AVENUE","AVENUE OF THE AMERICAS","5 AVENUE","AVENUE OF THE AMERICAS","ADDRESS","NEW YORK","WEST   42 STREET",,"Closed",,"The Department of Sanitation cleaned the location.","07/05/2024 09:49:02 AM","05 MANHATTAN","1012570002","MANHATTAN","989,057","214,058","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.75421497521","-73.98264967553","(40.75421497521138, -73.98264967552792)"
"61690361","07/03/2024 09:30:03 PM","07/15/2024 12:02:45 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Street","10011","6 AVENUE","6 AVENUE","6 AVENUE","WEST   17 STREET","6 AVENUE","WEST   17 STREET","INTERSECTION",,,,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/05/2024 12:51:02 PM","04 MANHATTAN",,"MANHATTAN","985,512","208,612","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.73926828905","-73.99544597516","(40.739268289049065, -73.99544597516342)"
"61687650","07/03/2024 10:34:40 AM","07/17/2024 03:33:51 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10456","BROOK AVENUE","BROOK AVENUE","BROOK AVENUE","EAST  166 STREET","BROOK AVENUE","EAST  166 STREET","INTERSECTION",,,,"Closed",,"The Department of Sanitation removed the items.","07/04/2024 12:26:12 AM","03 BRONX",,"BRONX","1,008,850","241,334","PHONE","Unspecified","BRONX",,,,,,,,"40.82904728862","-73.91110919969","(40.82904728862159, -73.9111091996862)"
"61676180","07/02/2024 05:48:06 PM","07/05/2024 01:31:00 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Gutter","11207","611 CHAUNCEY STREET","CHAUNCEY STREET","BROADWAY","BUSHWICK AVENUE","BROADWAY","BUSHWICK AVENUE","ADDRESS","BROOKLYN","CHAUNCEY STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","07/03/2024 06:31:38 AM","04 BROOKLYN","3034440001","BROOKLYN","1,009,261","188,080","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.68287758438","-73.90982217335","(40.68287758438334, -73.90982217335227)"
"61668924","07/01/2024 07:48:28 PM","07/03/2024 03:05:55 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Street","10454","420 EAST  145 STREET","EAST  145 STREET","WILLIS AVENUE","BROOK AVENUE","WILLIS AVENUE","BROOK AVENUE","ADDRESS","BRONX","EAST  145 STREET",,"Closed",,"The Department of Sanitation removed the items.","07/02/2024 10:59:38 AM","01 BRONX","2022890013","BRONX","1,006,743","235,530","PHONE","Unspecified","BRONX",,,,,,,,"40.81312257191","-73.91874218296","(40.81312257191121, -73.91874218295963)"
"61665915","07/01/2024 09:52:50 AM","07/22/2024 11:14:33 AM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10014","670 GREENWICH STREET","GREENWICH STREET","BARROW STREET","CHRISTOPHER STREET","BARROW STREET","CHRISTOPHER STREET","ADDRESS","NEW YORK","GREENWICH STREET",,"Closed",,"The Department of Sanitation removed the items.","07/01/2024 10:05:00 PM","02 MANHATTAN","1006040033","MANHATTAN","982,125","206,091","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.73234860105","-74.00766743094","(40.73234860104967, -74.00766743094329)"
"61642094","06/28/2024 09:39:31 AM","07/13/2024 12:54:12 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10023","160 WEST END AVENUE","WEST END AVENUE","AMSTERDAM AVENUE","WEST END AVENUE","AMSTERDAM AVENUE","WEST END AVENUE","ADDRESS","NEW YORK","WEST END AVENUE",,"Closed",,"The Department of Sanitation removed the items.","06/28/2024 10:33:37 AM","07 MANHATTAN","1011587501","MANHATTAN","988,409","222,065","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.77619244925","-73.98498360415","(40.77619244925213, -73.98498360415313)"
"61629956","06/27/2024 08:52:06 AM","07/11/2024 09:50:28 AM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10003","302 EAST   12 STREET","EAST   12 STREET","2 AVENUE","1 AVENUE","2 AVENUE","1 AVENUE","ADDRESS","NEW YORK","EAST   12 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","06/27/2024 10:40:52 PM","03 MANHATTAN","1004530010","MANHATTAN","988,262","205,544","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.73084656556","-73.98552421663","(40.73084656556293, -73.98552421663332)"
"61612018","06/26/2024 06:24:01 PM","06/28/2024 01:13:28 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10033","725 WEST  184 STREET","WEST  184 STREET","BENNETT AVENUE","OVERLOOK TERRACE","BENNETT AVENUE","OVERLOOK TERRACE","ADDRESS","NEW YORK","WEST  184 STREET",,"Closed",,"The Department of Sanitation cleaned the location.","06/27/2024 10:45:00 AM","12 MANHATTAN","1021800157","MANHATTAN","1,001,985","249,838","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.85240473615","-73.93589301545","(40.85240473614685, -73.935893015454)"
"61612019","06/26/2024 03:09:51 PM","06/27/2024 01:37:21 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11236","845 EAST   96 STREET","EAST   96 STREET","AVENUE D","NOLANS LANE","AVENUE D","NOLANS LANE","ADDRESS","BROOKLYN","EAST   96 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","06/27/2024 09:56:10 AM","18 BROOKLYN","3081290060","BROOKLYN","1,009,842","175,676","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.64882971834","-73.90777444984","(40.648829718340416, -73.90777444984259)"
"61598884","06/25/2024 10:41:49 PM","07/11/2024 09:53:20 AM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10009","94 AVENUE A","AVENUE A","EAST    6 STREET","EAST    7 STREET","EAST    6 STREET","EAST    7 STREET","ADDRESS","NEW YORK","AVENUE A",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","06/26/2024 10:26:42 AM","03 MANHATTAN","1004020001","MANHATTAN","988,716","203,616","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.72555445838","-73.98388740909","(40.72555445838028, -73.98388740908517)"
"61598883","06/25/2024 09:06:30 PM","07/11/2024 12:48:05 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10036","630 WEST   45 STREET","WEST   45 STREET","11 AVENUE","12 AVENUE","11 AVENUE","12 AVENUE","ADDRESS","NEW YORK","WEST   45 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","06/26/2024 11:08:07 AM","04 MANHATTAN","1010920007","MANHATTAN","984,897","217,280","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.76305982415","-73.99766441635","(40.76305982415417, -73.99766441635138)"
"61601845","06/25/2024 07:26:59 PM","07/03/2024 02:21:53 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11206","83 BUSHWICK PLACE","BUSHWICK PLACE","JOHNSON AVENUE","BOERUM STREET","JOHNSON AVENUE","BOERUM STREET","ADDRESS","BROOKLYN","BUSHWICK PLACE",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","06/26/2024 05:12:32 AM","01 BROOKLYN","3030730097","BROOKLYN","1,001,174","196,649","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.70641665381","-73.93895852608","(40.706416653813015, -73.93895852607875)"
